id,title,link,published,summary,author
69,Se estrena Iturria como ganador,http://www.cancha.com/aplicaciones/articulo/default.aspx?id=1761406,"Wed, 04 Sep 2019 14:02:20 CDT",Mikel Iturria logró su primera victoria al llevarse la etapa 11 de la Vuelta de España; Primoz Roglic sigue líder.,AP
70,Rinde expo homenaje a Coronel,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760818,"Wed, 04 Sep 2019 05:13:00 CDT","Rafael Coronel, pintor fallecido el 7 de mayo, recibirá homenaje en San Miguel de Allende con exhibición de 25 obras sobre la naturaleza.",Yanireth Israde
71,Festeja el FCE al estilo '4T',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760903,"Wed, 04 Sep 2019 05:02:28 CDT","En 85 aniversario del FCE, la verdadera festejada no fue la editorial, sino el Gobierno actual con arengas a favor de las causas de la '4T'.",Francisco Morales V.
72,Pierde un aliado la OFEQ,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760898,"Wed, 04 Sep 2019 05:13:00 CDT","La Filarmónica de Querétaro cierra filas en torno a su aún director, Ludwig Carrasco, quien permanecerá como su batuta hasta diciembre.",Erika P. Bucio
73,Apuestan por literatura nacional y joven,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760917,"Tue, 03 Sep 2019 23:08:15 CDT",Una antología general de José Emilio Pacheco y varias obras ilustradas integran las novedades editoriales de Océano.,Israel Sánchez
74,Minimizan daños en obras en museo de Edomex,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760492,"Tue, 03 Sep 2019 15:21:54 CDT","Tras denuncias de daños en cuadros de Leopoldo Flores exhibidos en Museo de Bellas Artes de Edomex, SC estatal afirmó que son superficiales.",Montserrat Peñaloza
75,Arremete Taibo II contra críticos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760773,"Tue, 03 Sep 2019 19:43:20 CDT",Paco Ignacio Taibo II aprovechó el 85 aniversario del FCE para rendir su informe de siete meses en el cargo y fustigar a sus críticos.,Francisco Morales V.
76,Falleció Elisa García Barragán,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760745,"Tue, 03 Sep 2019 19:17:25 CDT","Elisa García Barragán, estudiosa del arte, la historia y la literatura mexicanas, falleció este martes, informó el INBA.",REFORMA/ Redacción
77,Intelectuales deben ayudar en transformación.- AMLO,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760711,"Tue, 03 Sep 2019 18:25:09 CDT",López Obrador afirmó que se necesita que los intelectuales también ayuden en los procesos de transformación del País.,Zedryk Raziel y Francisco Morales V.
78,Un poeta de la memoria,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759969,"Tue, 03 Sep 2019 05:06:42 CDT","David Huerta, ganador del Premio FIL de Literatura en Lenguas Romances 2019, afirma que no hay arte sin memoria.",Erika P. Bucio
79,Homenajearán a Celso Piña en Los Pinos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760180,"Tue, 03 Sep 2019 09:10:01 CDT","La Secretaria de Cultura, Alejandra Frausto, informó que el 15 de septiembre se hará un homenaje a Celso Piña en Los Pinos.",Claudia Guerrero
80,Presume AMLO becas Conacyt... y nada más,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1758868,"Sun, 01 Sep 2019 14:46:39 CDT","La política científica faltó en el mensaje de AMLO por su Informe de Gobierno, pues apenas mencionó la entrega de becas por el Conacyt.",Israel Sánchez
81,La ciencia en Astrocopla,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1758033,"Sat, 31 Aug 2019 05:02:14 CDT","Proyecto Astrocopla, que se presentará en México, divulga aspectos de física y astronomía a través de la copla, género tradicional español.",Israel Sánchez
82,Logran mexicanos lo que ni Newton pudo,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753665,"Mon, 26 Aug 2019 05:01:36 CDT",Genios como Descartes y Newton habían buscado solución al defecto de aberración esférico; dos jóvenes mexicanos dieron con dicha ecuación.,Israel Sánchez
83,"Una agencia espacial, ¿para qué?",http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1748779,"Mon, 19 Aug 2019 05:01:31 CDT","Agencia Espacial Mexicana, que entró en operaciones en 2013, trabaja en el desarrollo de equipos satelitales con talento de universitarios.",Israel Sánchez
84,"AEM, agencia espacial de 'papel'",http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1750286,"Wed, 21 Aug 2019 05:01:30 CDT","Impulsores del proyecto original de la AEM consideraron que cuando se concibió la Agencia había expectativas altas, pero sólo quedó en eso.",Israel Sánchez
85,Exigen claridad al Conacyt,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1752774,"Sat, 24 Aug 2019 05:02:30 CDT","Postulantes acusaron que existen anomalías en evaluación, dictaminación y aprobación de apoyos en Conacyt y que no ha asignado 205 becas.",Israel Sánchez
86,Critican a titular del SNI del Conacyt,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753079,"Sat, 24 Aug 2019 12:33:07 CDT",Antonio Lazcano criticó al director del Sistema de Investigadores del Conacyt por tener el cargo con limitada experiencia en investigación.,REFORMA/Redacción
87,Ojalá que nos oigan.- Mario Molina,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1750319,"Tue, 20 Aug 2019 21:24:22 CDT",Mario Molina prevé un acercamiento con el Gobierno para convencerlo en usar energías renovables en vez de mirar hacia combustibles fósiles.,Yanireth Israde
88,Despiden a glaciar que desapareció en Islandia,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1748667,"Sun, 18 Aug 2019 19:12:01 CDT","Profesores y científicos colocaron una placa en Islandia en honor a Okjökull, primer glaciar del país perdido por el cambio climático.",REFORMA / Redacción
89,Arranca AMC año académico en austeridad,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1739934,"Tue, 06 Aug 2019 17:14:27 CDT",La Academia Mexicana de Ciencias operó el primer semestre de 2019 con menos del 25% del presupuesto de 2018; piden se garantice su futuro.,Israel Sánchez
90,Pone Morena condiciones para que AN presida Mesa,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761363,"Wed, 04 Sep 2019 13:33:36 CDT","Tras desistirse de presidir Mesa Directiva en San Lázaro, Morena dijo que PAN tendrá su apoyo si proponen un perfil que les dé confianza.",Claudia Salazar
91,Detectan colusión policías-crimen en 50 municipios,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761460,"Wed, 04 Sep 2019 15:45:24 CDT","El Secretario de Seguridad, Alfonso Durazo, afirmó que hay 50 municipios en los que detectaron colusión entre policías y crimen organizado.",Martha Martínez y Claudia Salazar
92,Acusa PAN Gobierno destructivo,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761491,"Wed, 04 Sep 2019 15:45:25 CDT","En festejo por 80 años de existencia del PAN, el dirigente Marko Cortés acusó al Gobierno de AMLO de destruir instituciones y economía.",Mayolo López
93,Pelean en INE por ampliación de periodos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761496,"Wed, 04 Sep 2019 15:51:04 CDT",La ampliación del periodo de consejeros en comisiones del INE fue aceptada pese a pelea entre miembros del Consejo por quejas de violar ley.,Érika Hernández
94,Rechaza Fiscal omisiones en caso Breach,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761415,"Wed, 04 Sep 2019 14:37:06 CDT","El Fiscal de Chihuahua rechazó que en la indagatoria sobre caso de periodista Breach haya ignorado pistas y pruebas, como acusó colectivo.",Pedro Sánchez Briones
95,Urge IP abasto de electricidad en Península,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761442,"Wed, 04 Sep 2019 14:43:05 CDT","En reunión con AMLO, empresarios de Yucatán advirtieron que, para que inversiones se logren, se debe garantizar suministro de electricidad.",Zedryk Raziel
96,Caen tres marinos por huachicol,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761391,"Wed, 04 Sep 2019 13:55:58 CDT","Tres marinos fueron puestos a disposición de la FGR por presuntamente sustraer combustible de refinería en Salina Cruz, Oaxaca.",Benito Jiménez
97,Ven faltantes en medición de pobreza,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761474,"Wed, 04 Sep 2019 15:16:53 CDT","Seis dimensiones, como la violencia y la falta de seguridad, no se abordaron adecuadamente en medición de pobreza, afirmaron expertos.",Evlyn Cervantes
98,Piden a SCT informe sobre empresa de internet,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761473,"Wed, 04 Sep 2019 15:16:53 CDT",El INAI ordenó a la SCT realizar una búsqueda exhaustiva de la información relacionada con la creación de una empresa de internet.,Rolando Herrera
99,Suspende UNAM trámites en Rectoría,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761367,"Wed, 04 Sep 2019 13:38:50 CDT",Los trámites en Rectoría de la UNAM están suspendidos en tanto se reparan los destrozos que encapuchados causaron ayer durante una protesta.,Iris Velázquez
116,Va Alcatel por los centennials,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761236,"Wed, 04 Sep 2019 11:30:42 CDT","Los equipos Alcatel 3 2019 y Alcatel 3C 2019 debutan con precios de 3 mil 300 pesos y 2 mil 800, respectivamente.",Axel Romero
117,Lanza Ifrogz audífonos inalámbricos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761359,"Wed, 04 Sep 2019 13:26:19 CDT","Con carga rápida, autonomía de hasta 15 horas y estuche recargable, los audífonos AIRTIME Truly Wireless cuestan $1,300.",Axel Romero
118,Lleva Waze señal a túneles de SuperVía,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760746,"Tue, 03 Sep 2019 19:20:02 CDT",Los túneles de la SúperVía Poniente ya tienen señal GPS para que las apps de navegación no dejen de funcionar.,Aleyda Ángel
119,Juegos 'must' de septiembre,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759545,"Mon, 02 Sep 2019 13:26:15 CDT","Las retas de fut serán más reales, los casquillos volarán al compás de las explosiones y la nostalgia llega más bella, con más sorpresas.",Axel Romero
120,Hackean la cuenta del CEO de Twitter,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1757770,"Fri, 30 Aug 2019 15:18:27 CDT","La cuenta de Twitter del fundador de la empresa, Jack Dorsey, publicó una oleada de tuits racistas y antisemitas en cuestión de minutos.",José Luis Adriano
121,#LunesDeReseñas: Instax Mini LiPlay,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753743,"Mon, 26 Aug 2019 05:01:34 CDT",La cámara híbrida Fujifilm Instax Mini LiPlay lleva sonidos a la fotografía instantánea.,José Luis Adriano
122,#LunesDeReseñas: Echo Show 5,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1732407,"Mon, 29 Jul 2019 05:02:01 CDT",El Echo Show 5 tiene una pantalla táctil de 5.5 pulgadas y una cámara frontal que puede apagarse para mayor privacidad del usuario.,Aleyda Ángel
123,Llegan a México los Galaxy Note 10,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1755280,"Wed, 28 Aug 2019 05:09:43 CDT","Los Samsung Galaxy Note 10 y Galaxy Note 10+ estarán en tiendas el 5 de septiembre por 23 y 28 mil pesos, su preventa inició este martes.",José Luis Adriano
124,Anuncian precio de Honor 20,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1754449,"Mon, 26 Aug 2019 19:29:59 CDT","El Honor 20 llegará a México con cuatro cámaras traseras, pantalla de 6.26 pulgadas, RAM de 6 GB y 3750 mAh, por menos de 15 mil pesos.",Staff Gadgets
125,Magia mexicana en FIFA 20,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1752472,"Fri, 23 Aug 2019 13:46:41 CDT",Sam Rivera forma parte del equipo de desarrollo que traerá de vuelta el futbol callejero en el juego de EA Sports.,Axel Romero
126,Un 'statement' de personalidad,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759562,"Mon, 02 Sep 2019 13:54:35 CDT",Conoce la nueva fragancia de L'Bel que te dará un aire clásico.,Vania Estévez
127,Millie y Selena compiten por el beauty,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759787,"Tue, 03 Sep 2019 05:01:41 CDT",stintas personalidades del medio se han adentrado a este mundo proponiendo sus firmas de cosméticos y del cuidado de la piel.,Laura Cianci
128,Tommy X Zendaya llega a Fashion Week,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759737,"Mon, 02 Sep 2019 17:24:30 CDT",La nueva colección colaborativa será presentada el 8 de septiembre.,Reforma / Staff
129,Saca tu lado sport con Vans,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760646,"Tue, 03 Sep 2019 17:15:21 CDT",Apoyar el talento de la disciplina de BMX es uno de los nuevos pilares de la marca californiana.,Vania Estévez
130,Empápate de moda,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1757994,"Sat, 31 Aug 2019 05:01:57 CDT",Camina con libertad sin preocuparte por mojarte. ¡Te dejamos algunas opciones de calzado que podrás utilizar sin dejar de lucir a la moda.,Paola Cianci
131,El aroma de Lalique que evoca al éxito,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759446,"Mon, 02 Sep 2019 11:58:31 CDT","Conoce la fragancia masculina L' Insoumis Ma Force, de la firma Lalique.",Lupita Aguilar
132,Firman Fashion Pact en pro del planeta,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1756067,"Wed, 28 Aug 2019 19:58:44 CDT",Conoce cuáles son las firmas de moda que se han unido para hacerle frente a los problemas ambientales.,Vania Estévez
133,La magia de Kathia Fontini,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1757958,"Fri, 30 Aug 2019 19:10:15 CDT",La diseñadora comparte lo que significa para dedicarse al ámbito de la moda.,Lupita Aguilar
134,Así es la moda ecológica,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1757973,"Sat, 31 Aug 2019 05:12:29 CDT",El nuevo camino es crear productos de lujo sin causar daños innecesarios al planeta.,Fernando Toledo
135,El accesorio que ajusta tus looks,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1756860,"Fri, 30 Aug 2019 05:03:05 CDT","Este accesorio se convertirá en el protagonista de casi todos tus atuendos, dale le bienvenida al elemento más trendy de la temporada.",Reforma/Staff
136,Toca tierra 'Fernand' en Tamaulipas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761303,"Wed, 04 Sep 2019 12:45:49 CDT","La tormenta tropical 'Fernand' tocó tierra en Boca de Catán, Tamaulipas, a 55 km de La Pesca; su trayectoria apunta a Monterrey, NL.",Antonio Baranda y Mirna Ramos
137,Niega TEPJF presiones por 'Ley Bonilla',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761452,"Wed, 04 Sep 2019 14:50:14 CDT","Felipe Fuentes, presidente de TEPJF, dijo que órgano no ha recibido presiones para resolver recurso que presentó Coparmex por 'Ley Bonilla'.",Mayolo López
138,Para CECyTE en 19 estados,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761322,"Wed, 04 Sep 2019 13:02:14 CDT",Trabajadores del CECyTE pararon labores en 19 estados en reclamo por el incumplimiento de la Federación en el pago de bonos y salarios.,Óscar Uscanga
139,Exigen restitución de Winckler como Fiscal,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761269,"Wed, 04 Sep 2019 12:36:28 CDT","Tras señalar 'golpe de Estado', el senador del PAN Damián Zepeda exigió la restitución inmediata del Fiscal de Veracruz, Jorge Winckler.",Mayolo López
140,Recapturan a asesino de activista en Chihuahua,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761138,"Wed, 04 Sep 2019 10:12:04 CDT",Autoridades de Chihuahua recapturaron al presunto homicida del activista rarámuri Juan Ontiveros Ramos luego de ser liberado en abril.,Pedro Sánchez / Corresponsal
141,Acusan a Policía de Coatzacoalcos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760909,"Wed, 04 Sep 2019 05:02:28 CDT","La Policía de Coatzacoalcos opera con irregularidades, influyentismo, corrupción y presuntas ligas al crimen, acusaron mandos estatales.",Benito Jiménez
142,Cuenta Winckler con suspensión contra cese,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761193,"Wed, 04 Sep 2019 11:06:02 CDT","Juzgado federal otorgó en enero una suspensión definitiva a Jorge Winckler, Fiscal de Veracruz, ante intentos de destitución ajenos a ley.",Benito Jiménez
143,Deja 'Fernand' sin clases a NL y Tamaulipas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761100,"Wed, 04 Sep 2019 09:45:43 CDT",Autoridades de NL y Tamaulipas ordenaron suspender clases en todos los planteles escolares de la zona ante impacto de la tormenta 'Fernand'.,Antonio Baranda
144,Querían diputados beca de posgrado,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760916,"Wed, 04 Sep 2019 05:02:28 CDT","Aún con un sueldo de 109 mil 68 pesos al mes, tres diputados del Congreso de Jalisco pretendían obtener una beca para estudiar un posgrado.",Martín Aquino
145,Separan temporalmente a Fiscal de Veracruz,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760625,"Tue, 03 Sep 2019 16:59:38 CDT",Congreso de Veracruz separó temporalmente del cargo al Fiscal Jorge Winckler por no cumplir con revalidación de certificado de confianza.,Benito Jiménez
146,Planea Arabia Saudita visado de turista,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761214,"Wed, 04 Sep 2019 11:14:58 CDT",Varias fuentes han señalado que el gobierno de Arabia Saudita está por aceptar solicitudes de visa de turista a finales de septiembre.,Bloomberg
147,Reabre aeropuerto de Orlando,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761198,"Wed, 04 Sep 2019 11:14:58 CDT","Tras el paso del huracán Dorian, este miércoles reabrió el aeropuerto de Orlando.",AP
148,Baja Disney Shanghái precio para niños,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761206,"Wed, 04 Sep 2019 11:14:58 CDT","A partir del 8 de octubre, Disneylandia Shanghái implementará nuevos criterios de venta de boletos para niños; ofrecerá descuentos.",Xinhua
149,Apoyan empresas de cruceros a Bahamas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761210,"Wed, 04 Sep 2019 11:14:58 CDT","Compañías de cruceros anunciaron millonarias donaciones a las islas Bahamas, para socorrer al archipiélago devastado por el huracán Dorian.",EFE
150,Impulsa Príncipe turismo sustentable,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760181,"Tue, 03 Sep 2019 09:21:42 CDT","El Príncipe Enrique presentó 'Travalyst', plataforma para impulsar el turismo sustentable.",Reuters
151,Tras la pista de Cortázar,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1753330,"Mon, 26 Aug 2019 05:01:34 CDT","A 105 años del natalicio del escritor Julio Cortázar, aquí algunos destinos a visitar si quieres planear una travesía en su honor.",REFORMA /  Redacción
152,¡Abuelos de lujo!,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1752801,"Sun, 25 Aug 2019 05:09:08 CDT","Este 28 de agosto se celebra el Día del Abuelo, para festejarlo, proponemos destinos que todos disfrutarán.",REFORMA / Redacción
153,El Hollywood de Tarantino,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1751079,"Fri, 23 Aug 2019 05:13:50 CDT","Este viernes se estrena ""Había una Vez... En Hollywood"", de Quentin Tarantino. Aquí algunas locaciones que puedes visitar cuando vayas a LA.",REFORMA / Redacción
154,Hoteles para ¡gamers!,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1756796,"Thu, 29 Aug 2019 13:26:54 CDT","¿Te gustan los videojuegos y viajar? Conoce estos hospedajes, diseñados especialmente para gamers.",REFORMA / Redacción
155,Hospedajes ¡de película!,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1748150,"Sun, 18 Aug 2019 05:04:46 CDT",Aquí algunos hoteles y hospedajes que son famosos por aparecer en reconocidas cintas.,REFORMA / Redacción
